,State_Name,District_Name,Jan_level,Feb_level,march_level,april_level,may_level,june_level,july_level,aug_level,sep_level,oct_level,nov_level,dec_level,Jan2020_lev
417,CHHATTISGARH,BIJAPUR,6.05,4,4,4,5.89,4,4.27,2.63,1.71,4,3.05,3.06,3.6
418,TELANGANA,WARANGAL,9.42,11.01,12.1,8,12.08,12.14,8.09,6.63,8,3.23,4.8,5.48,6.46
419,KARNATAKA,GADAG,8.12,8,8,9.64,15.48,8,8,2.14,8,8,8.79,8,4.08
420,BIHAR,MUZAFFARPUR,5.36,5,5,5,6.54,5,5,5.37,5,5,3.15,5,5
421,ASSAM,NALBARI,3.25,3,2.64,3,3,3,3,1.87,3,3,2.52,3,3
422,UTTAR PRADESH,AYODHYA,5.1,5.83,7.86,9.84,5.8,28.5,10.38,9.52,8.8,11.59,8.6,14.79,21.53
423,KERALA,WAYANAD,6.51,5,5,7.38,5,6.46,6,4.33,4.56,4.49,5.67,1.89,1.86
424,NAGALAND,DIMAPUR,5,5,5,5,5,5,5,5,5,5,5,5,5
425,RAJASTHAN,JODHPUR,35.92,35,35,35,34.94,35,35,34.69,35,35,33.88,35,35
426,HARYANA,MAHENDRAGARH,33,33,33,33,26.38,33,33,29.39,33,44.66,33,33,33
427,NAGALAND,LONGLENG,33,33,33,33,33,33,33,33,33,33,33,33,33
428,WEST BENGAL,KOLKATA,1.34,5,5,1.89,5,5,5,10.05,5,5,6.63,5,5
429,HIMACHAL PRADESH,KANGRA,5.37,5,5,5,5.67,5,5,5.31,5,5,4.38,5,5
430,UTTAR PRADESH,GHAZIABAD,14.18,24.98,17.77,16.18,14.34,16.29,16.06,15.65,15.29,259.79,15.53,20.83,22.84
431,MADHYA PRADESH,JABALPUR,7.18,5,5,5,8.23,7.85,2.67,2.54,5,2.31,4.45,5,5
432,UTTAR PRADESH,ETAH,8.18,21.91,14.51,14.53,13.33,15.03,15.7,15.49,15.71,15.54,15.81,15.9,22.51
433,MAHARASHTRA,KOLHAPUR,5.06,4,4,4,6.01,4,4,2.69,4,4,3.51,4,4
434,MADHYA PRADESH,SAGAR,8.19,6,6,6,11.1,9.74,2.63,3.17,6,1.84,4.57,6,6
435,MADHYA PRADESH,HARDA,7.32,6,6,6,10.73,11.09,4.06,3.19,6,2.13,3.6,6,6
436,GUJARAT,SABAR KANTHA,14.55,13,13,13,18.65,13,13,9.57,13,13,8.78,13,13
437,RAJASTHAN,BARMER,35.42,34,34,34,35.09,34,34,31.81,34,34,34.49,34,34
438,UTTAR PRADESH,KANSIRAM NAGAR,7.22,21.22,10.13,10.27,9.53,11.53,11.39,10.82,10.78,11.13,11.81,11.78,22.97
439,BIHAR,PATNA,6.07,6,6,6,7.56,6,6,5.4,6,6,3.51,6,6
440,Ladakh,Ladakh dist1,6,6,6,6,6,6,6,6,6,6,6,6,6
441,ARUNACHAL PRADESH,WEST SIANG,5.94,5,5,5,5,5,5,2.48,5,5,5.68,5,5
442,PUNJAB,GURDASPUR,8,8,8,8,7.78,8,8,8.67,8,7.07,8,8,8
443,MAHARASHTRA,SINDHUDURG,6.17,5,5,5,7.79,5,5,3.33,5,5,3.47,5,5
444,BIHAR,BEGUSARAI,6.24,6,6,6,7.55,6,6,6.16,6,6,3.78,6,6
445,BIHAR,KHAGARIA,5.26,5,5,5,6.41,5,5,6.22,5,5,2.95,5,5
446,DELHI,CENTRAL,9,9,9,9,9.84,9,9,8.85,9,8.6,9,8.13,9
447,TAMILNADU,THENI,12.9,17.59,13.74,19.76,15.17,11.98,7.53,15.47,17.39,24.62,15.49,16,16
448,UTTAR PRADESH,KHERI,4.38,7.43,13.13,13.51,5.49,20.11,14.69,13.53,13.69,12.79,13.17,16.05,22.36
449,JHARKHAND,PASHCHIMI SINGHBHUM,4.85,4,4,4,6.36,4,4,2.5,4,4,2.58,4,4
450,ASSAM,HAILAKANDI,1.64,2,2.29,2,2,2,2,1.85,2,2,0.82,2,2
451,RAJASTHAN,BUNDI,6.42,6,6,6,8.81,6,6,3.83,6,6,3.34,6,6
452,KERALA,MALAPPURAM,7.38,6,6,8.7,6,8.59,8.28,5.93,6.66,7.31,6.45,1.88,1.85
453,MADHYA PRADESH,DATIA,10.16,8,8,8,11.17,10.83,14.13,3.87,8,1.01,3.8,8,8
454,UTTAR PRADESH,BUDAUN,12.8,20.34,10.04,10.25,12.49,12.59,12.59,12,12.38,12.13,12.52,13.57,22.9
455,NAGALAND,MON,14,14,14,14,14,14,14,14,14,14,14,14,14
456,MADHYA PRADESH,BARWANI,8.48,6,6,6,10.31,8.6,8.3,2.05,6,1.78,3.6,6,6
457,MAHARASHTRA,GARHCHIROLI,5.29,5,5,5,8.47,5,5,1.2,5,5,4.21,5,5
458,HIMACHAL PRADESH,KULLU,4.18,4,4,4,5.06,4,4,2.93,4,4,3.05,4,4
459,MADHYA PRADESH,HOSHANGABAD,8.03,6,6,6,10.14,10.11,3.18,1.97,6,2.24,3.69,6,6
460,MAHARASHTRA,RATNAGIRI,7.04,6,6,6,7.57,6,6,4.3,6,6,4.26,6,6
461,UTTAR PRADESH,RAMPUR,6.14,16.14,10.31,10.82,6.92,12.22,12.2,11.91,11.79,12.47,13.33,13.24,23.36
462,ANDHRA PRADESH,SRIKAKULAM,4.25,5.31,5.91,6.21,5.53,4,4,2.43,4,1.34,4,4,4.29
463,DELHI,NORTH,6,6,6,6,7.74,6,6,6.16,6,6.3,6,5.73,6
464,TAMILNADU,DHARMAPURI,12.73,9.6,10.68,11.08,12.75,9.94,11.12,11.99,21.34,18.07,6.59,12,12
465,KARNATAKA,BELGAUM,6.4,5,5,7.23,9.36,5,5,1.17,5,5,5.16,5,3.32
466,WEST BENGAL,BARDDHAMAN,10.11,9,9,10.73,9,9,9,9.05,9,9,6.69,9,9
467,KARNATAKA,UDUPI,7.37,7,7,11.18,10.36,7,7,2.7,7,7,3.85,7,4.94
468,PONDICHERRY,YANAM,2.78,8,8,8,4,8,8,11.6,8,8,11.73,8,8
469,ODISHA,NAYAGARH,3.95,3,3,4.67,3,3,3,1.36,3,3,2.02,3,3
470,PUNJAB,FARIDKOT,10,10,10,10,9.12,10,10,10.16,10,9.86,10,10,10
471,WEST BENGAL,BIRBHUM,10.23,9,9,10.93,9,9,9,9.13,9,9,5.4,9,9
472,TAMILNADU,KANNIYAKUMARI,6.69,8.97,8.78,9.22,8.36,8.79,9.89,8.93,12.02,20.77,5.62,10,10
473,ODISHA,GAJAPATI,3.51,3,3,3.13,3,3,3,1.48,3,3,2.2,3,3
474,TELANGANA,ADILABAD,7.22,9.22,10.62,7,9.12,8.87,5.53,4.85,7,3.39,5.36,5.82,6.48
475,RAJASTHAN,CHURU,36.46,36,36,36,36.99,36,36,35.5,36,36,35.71,36,36
476,BIHAR,MUNGER,5.75,6,6,6,7.99,6,6,6.09,6,6,2.95,6,6
477,UTTAR PRADESH,BARA BANKI,5.31,5.72,11.41,12.47,7.17,27.78,14.05,13.97,13.63,15.64,14.98,20.11,20.89
478,TAMILNADU,VELLORE,9.2,10.78,11.42,11.69,10.36,9.64,11.13,10.46,19.84,18.07,8.64,12,12
479,MADHYA PRADESH,EAST NIMAR,7.01,5,5,5,8.08,9.98,2.5,2.83,5,2.22,3.6,5,5
480,BIHAR,KAIMUR (BHABUA),6.51,7,7,7,10.38,7,7,5.47,7,7,4.2,7,7
481,BIHAR,KISHANGANJ,3.94,4,4,4,3.42,4,4,6.21,4,4,2.79,4,4
482,WEST BENGAL,UTTAR DINAJPUR,5.09,4,4,4.27,4,4,4,3.04,4,4,2.15,4,4
483,JHARKHAND,LOHARDAGA,6.16,6,6,6,8.55,6,6,5.2,6,6,4.27,6,6
484,KERALA,KASARAGOD,9.48,5,5,10.87,5,4.98,4.37,3.45,3.86,4.41,5.06,1.9,1.87
485,NAGALAND,KOHIMA,5,5,5,5,5,5,5,5,5,5,5,5,5
486,ARUNACHAL PRADESH,UPPER SIANG,6.2,5,5,5,5,5,5,2.74,5,5,5.09,5,5
487,RAJASTHAN,SIKAR,49.79,49,49,49,48.72,49,49,49.9,49,49,49.55,49,49
488,RAJASTHAN,JALOR,23.46,25,25,25,24.11,25,25,25.73,25,25,26.69,25,25
489,UTTAR PRADESH,MUZAFFARNAGAR,11.15,26.05,16.81,16.45,13.45,16.2,15.91,15.46,15.08,78.58,15.37,20.39,23.55
490,HIMACHAL PRADESH,KINNAUR,9.2,8,8,8,9.54,8,8,6.94,8,8,7.28,8,8
491,CHHATTISGARH,NARAYANPUR,6.21,4,4,4,7.57,4,4.28,2.66,1.71,4,3.05,3.06,3.28
492,MAHARASHTRA,WARDHA,7.18,6,6,6,9.24,6,6,2.6,6,6,5.3,6,6
493,HARYANA,YAMUNANAGAR,11,11,11,11,13.03,11,11,11.57,11,9.31,11,11,11
494,Ladakh,Leh (ladakh),11,11,11,11,11,11,11,11,11,11,11,11,11
495,HIMACHAL PRADESH,LAHUL & SPITI,4.95,4,4,4,5.75,4,4,2.95,4,4,3.88,4,4
496,ASSAM,CACHAR,1.95,2,3.45,2,2,2,2,1.98,2,2,1.34,2,2
497,ARUNACHAL PRADESH,TIRAP,6.92,5,5,5,5,5,5,2.48,5,5,4.89,5,5
498,UTTARAKHAND,ALMORA,28.82,30,30,30,32.93,30,30,29.75,30,30,29.93,30,30
499,UTTARAKHAND,PITHORAGARH,19.98,19,19,19,25.8,19,19,14.9,19,19,14.77,19,19
500,ODISHA,KANDHAMAL,5.44,6,6,7.44,6,6,6,3.51,6,6,5.71,6,6
501,ARUNACHAL PRADESH,DIBANG VALLEY,6.03,4,4,4,4,4,4,2.85,4,4,4.42,4,4
502,UTTAR PRADESH,SIDDHARTH NAGAR,3.65,5.6,8.94,8.09,4.77,28.47,9.96,9.38,9.27,12.64,8.91,16.64,22.77
503,BIHAR,MADHEPURA,3.65,4,4,4,4.21,4,4,6.22,4,4,2.54,4,4
504,KERALA,KOLLAM,6.75,6,6,7.36,6,6.71,6.94,5.86,5.87,4.75,6.63,2.14,5.74
505,MAHARASHTRA,MUMBAI,4.07,5,5,5,5.13,5,5,1.18,5,5,8.34,5,5
506,TAMILNADU,TIRUPPUR,6.4,11.16,11.89,13.01,8.29,12.59,9.07,9.29,21.4,20.3,7,12,12
507,NAGALAND,PEREN,12,12,12,12,12,12,12,12,12,12,12,12,12
508,RAJASTHAN,BANSWARA,3.82,4,4,4,6.74,4,4,1.76,4,4,2.87,4,4
509,ARUNACHAL PRADESH,WEST KAMENG,7.2,5,5,5,5,5,5,2.38,5,5,5.44,5,5
510,PONDICHERRY,PUDUCHERRY,18.09,18,18,18,18.56,18,18,17.33,18,18,17.89,18,18
511,JHARKHAND,PALAMU,6.65,7,7,7,10.19,7,7,4.71,7,7,5.65,7,7
512,CHHATTISGARH,DHAMTARI,5.54,4,4,4,5.96,4,4.27,2.84,1.7,4,3.05,3.05,3.05
513,MAHARASHTRA,BID,10.79,10,10,10,13.34,10,10,10.52,10,10,3.95,10,10
514,DELHI,NORTH EAST,8,8,8,8,9.52,8,8,7.14,8,6.68,8,6.88,8
515,WEST BENGAL,NADIA,5.39,6,6,5.73,6,6,6,10.51,6,6,3.79,6,6
516,MADHYA PRADESH,BALAGHAT,5.37,4,4,4,7.7,6.18,2.3,1.65,4,2.38,4.76,4,4
517,ODISHA,DHENKANAL,4.45,4,4,5.64,4,4,4,1.93,4,4,3.04,4,4
518,PUNJAB,HOSHIARPUR,13,13,13,13,15.44,13,13,12.6,13,11.55,13,13,13
519,MAHARASHTRA,MUMBAI SUBURBAN,4.1,5,5,5,5.2,5,5,0.79,5,5,8.34,5,5
520,BIHAR,BUXAR,5.22,5,5,5,7.29,5,5,3.85,5,5,4.07,5,5
521,GUJARAT,ANAND,10.89,10,10,10,11.99,10,10,9.02,10,10,8.66,10,10
522,MANIPUR,IMPHAL WEST,10,10,10,10,10,10,10,10,10,10,10,10,10
523,ODISHA,BAUDA,3.33,3,3,5.54,3,3,3,1.64,3,3,2.84,3,3
524,TAMILNADU,KANCHEEPURAM,4.79,10.65,11.29,11.62,7.36,9.65,11.13,6.86,16.72,17.85,3.81,10,10
525,UTTAR PRADESH,BALLIA,4.83,6.15,11.65,9.81,6.25,25.33,12.06,11.22,12.01,11.28,9.76,9.72,23.25
526,MAHARASHTRA,JALGAON,13.62,12,12,12,15.78,12,12,11.4,12,12,8.29,12,12
527,MAHARASHTRA,HINGOLI,9.38,7,7,7,11.3,7,7,4.79,7,7,3.62,7,7
528,MAHARASHTRA,AKOLA,11.92,12,12,12,14.26,12,12,11.89,12,12,8.19,12,12
529,TAMILNADU,KRISHNAGIRI,11.56,9.38,10.58,10.49,14.49,10.08,11.12,13.42,21.69,18.08,9.89,13,13
530,UTTAR PRADESH,MAU,5,6.15,11.64,9.7,6.13,25.31,12.27,11.35,12,11.27,9.83,9.72,22.98
531,CHHATTISGARH,KORIYA,5.53,5,5,5,9.11,5,4.17,3.3,4.5,5,4.56,4.28,3.21
532,UTTAR PRADESH,BAREILLY,5.41,15.43,8.6,8.85,5.77,10.06,9.9,10.42,11.23,10.15,10.02,14.08,23.33
533,UTTAR PRADESH,PRAYAGRAJ,7.13,6.16,11.95,11.03,7.81,26.15,12.74,12.22,12.33,11.57,10.66,9.78,22.04
534,TAMILNADU,THIRUVARUR,3.69,11.52,11.47,11.02,5.39,9.82,10.89,6.04,13.75,16.7,2.29,9,9
535,CHHATTISGARH,BASTAR,5.5,4,4,4,6.68,4,4.26,2.7,2.32,4,3.05,3.06,3.36
536,HARYANA,KARNAL,23,23,23,23,21.68,23,23,23.47,23,23.22,23,23,23
537,MADHYA PRADESH,UJJAIN,12.02,6,6,6,14.57,6.45,3.26,1.09,6,1.83,3.59,6,6
538,MAHARASHTRA,SANGLI,6.91,6,6,6,8.57,6,6,4.5,6,6,3.53,6,6
539,KARNATAKA,KOPPAL,6.21,6,6,8.95,8.18,6,6,3.75,6,6,5.93,6,4.24
540,RAJASTHAN,JAIPUR,35.79,35,35,35,36.63,35,35,34.6,35,35,34.69,35,35
541,CHHATTISGARH,UTTAR BASTAR KANKER,5.95,4,4,4,7.1,4,4.6,2.98,1.71,4,3.05,3.05,3.14
542,ASSAM,GOALPARA,4.01,4,4.57,4,4,4,4,2.08,4,4,3.39,4,4
543,GUJARAT,AHMADABAD,20.04,17,17,17,18.93,17,17,17.22,17,17,13.69,17,17
544,MANIPUR,THOUBAL,17,17,17,17,17,17,17,17,17,17,17,17,17
545,KARNATAKA,GULBARGA,8.05,7,7,9.83,11.48,7,7,3.77,7,7,6.1,7,3.99
546,TELANGANA,MEDAK,20.14,21.5,22.26,19,21.94,22.53,20.41,18.82,19,12.32,15.16,16.07,16.8
